ALTER TABLE
UPDATE 529
 source | target | edge |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          the_geom                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
    300 |    137 |  223 | 0102000020E6100000020000004F6FEB13E53452400434B67CC91B3340086465EAE4345240086C7308C11B3340
    137 |    136 |  221 | 0102000020E610000002000000086465EAE4345240086C7308C11B334008F13790E4345240557EBED29E1B3340
    136 |    135 |  218 | 0102000020E61000000400000008F13790E4345240557EBED29E1B33401A1AAABDE33452400DF159E8941B334015466925E334524005EBEEF08D1B3340BC73CD89E234524000A13F7E801B3340
    134 |    135 |  219 | 0102000020E6100000020000002D5A25FDE2345240C4EC65DB691B3340BC73CD89E234524000A13F7E801B3340
    328 |    134 |  217 | 0102000020E610000002000000862CC198E33452407DFD5AA8461B33402D5A25FDE2345240C4EC65DB691B3340
    235 |    328 |  492 | 0102000020E610000002000000612294ADE43452407CC509021A1B3340862CC198E33452407DFD5AA8461B3340
    328 |    377 |  556 | 0102000020E610000003000000862CC198E33452407DFD5AA8461B33407D827AE9DC34524047BC862A461B33401F2114A5CE3452407F99396E421B3340
    377 |    378 |  557 | 0102000020E6100000020000001F2114A5CE3452407F99396E421B3340DDA117A4CF345240F8A92A34101B3340
    134 |    376 |  554 | 0102000020E6100000030000002D5A25FDE2345240C4EC65DB691B33405D37A5BCD6345240B8CE1A17691B3340CCC93093CD34524089361147681B3340
    322 |    136 |  220 | 0102000020E610000002000000C0F91E3FE53452403E9E4C929D1B334008F13790E4345240557EBED29E1B3340
    321 |    322 |  485 | 0102000020E61000000200000007729A4FE7345240520141CA991B3340C0F91E3FE53452403E9E4C929D1B3340
    325 |    321 |  484 | 0102000020E610000002000000B92DDB98E8345240B82E466E971B334007729A4FE7345240520141CA991B3340
    204 |    325 |  489 | 0102000020E6100000020000005FC834E4E9345240CC5DF00E951B3340B92DDB98E8345240B82E466E971B3340
    204 |    100 |  164 | 0102000020E6100000020000005FC834E4E9345240CC5DF00E951B33403A90F5D4EA345240BC7FE2B66C1B3340
    152 |    100 |  165 | 0102000020E61000000200000048927B15F4345240B70A62A06B1B33403A90F5D4EA345240BC7FE2B66C1B3340
    151 |    152 |  250 | 0102000020E610000002000000352493F80135524099F1B6D26B1B334048927B15F4345240B70A62A06B1B3340
    151 |    118 |  191 | 0102000020E610000002000000352493F80135524099F1B6D26B1B334029D599D601355240149E865E351B3340
    118 |    146 |  239 | 0102000020E61000000200000029D599D601355240149E865E351B33404DF3339A0135524057E828ACF91A3340
    343 |    146 |  238 | 0102000020E6100000020000003C212A430B35524014D044D8F01A33404DF3339A0135524057E828ACF91A3340
    343 |    342 |  510 | 0102000020E6100000060000003C212A430B35524014D044D8F01A334030BEC3480A355240C350E2CEE01A33409CA2C8FF0935524094A46B26DF1A33400126BA780935524089CED7D1DD1A334067A9ABF10835524089CED7D1DD1A33405443D1F2F234524007921C55F21A3340
    115 |    343 |  511 | 0102000020E61000000200000022D04F270F355240B0164449ED1A33403C212A430B35524014D044D8F01A3340
    115 |    162 |  266 | 0102000020E61000000200000022D04F270F355240B0164449ED1A3340F2A7D7770F355240196C8F83B71A3340
    162 |    179 |  296 | 0102000020E610000002000000F2A7D7770F355240196C8F83B71A3340CF2225871935524023BDA8DDAF1A3340
    179 |    163 |  268 | 0102000020E610000002000000CF2225871935524023BDA8DDAF1A3340634C55351C3552402A86504AAD1A3340
    163 |    180 |  298 | 0102000020E610000004000000634C55351C3552402A86504AAD1A3340D4A8763C1C355240DBDC989EB01A33408CE20B491C3552403F3A75E5B31A33409E08E23C1C3552403C0E2840B91A3340
    163 |    349 |  519 | 0102000020E610000002000000634C55351C3552402A86504AAD1A3340DF7E0A911D3552408A1EF818AC1A3340
    349 |    348 |  517 | 0102000020E610000002000000DF7E0A911D3552408A1EF818AC1A33401BDF72501D355240812CFAF9A51A3340
    348 |    350 |  521 | 0102000020E6100000020000001BDF72501D355240812CFAF9A51A33401B2AC6F91B355240DA43B1CBA61A3340
    118 |    341 |  509 | 0102000020E61000000200000029D599D601355240149E865E351B33408B993391083552406E45AC0F351B3340
    341 |    331 |  496 | 0102000020E6100000020000008B993391083552406E45AC0F351B334075898FF40E3552401BEB2CC4341B3340
    341 |    340 |  507 | 0102000020E6100000020000008B993391083552406E45AC0F351B33402CC2A8FF07355240AA5F8EC3051B3340
