 seq | path_seq | start_vid | end_vid | node  | edge  |        cost         |     agg_cost      
  21 |       21 |      3363 |    1175 |   493 |  6079 |   0.110540225481196 |  7.86544868647838
  22 |       22 |      3363 |    1175 | 10626 |  4471 |   0.418293658985169 |  7.97598891195957
  23 |       23 |      3363 |    1175 |  7838 |  3395 |   0.171865009297021 |  8.39428257094474
  24 |       24 |      3363 |    1175 |  5942 |  9961 |   0.110094515937895 |  8.56614758024176
  25 |       25 |      3363 |    1175 |  4793 | 11270 |   0.415414044918927 |  8.67624209617966
  26 |       26 |      3363 |    1175 |  6979 | 11271 |   0.260683208214394 |  9.09165614109859
  27 |       27 |      3363 |    1175 | 10374 | 13275 |   0.495213226945301 |  9.35233934931298
  28 |       28 |      3363 |    1175 |  3010 | 15040 |    1.60075560789478 |  9.84755257625828
  29 |       29 |      3363 |    1175 | 10705 | 16749 |   0.982445782136884 |  11.4483081841531
  30 |       30 |      3363 |    1175 | 13011 | 18640 |   0.991546433413133 |  12.4307539662899
  31 |       31 |      3363 |    1175 |  7716 | 15828 |   0.204802178021278 |  13.4223003997031
  32 |       32 |      3363 |    1175 |  4409 | 15278 |   0.458511234489608 |  13.6271025777244
  33 |       33 |      3363 |    1175 |  1579 |   907 |   0.161774767696989 |   14.085613812214
  34 |       34 |      3363 |    1175 |  5785 | 16991 |   0.367295044869437 |   14.247388579911
  35 |       35 |      3363 |    1175 | 13644 | 16993 |   0.277727562643832 |  14.6146836247804
  36 |       36 |      3363 |    1175 | 11942 | 14185 |  0.0980774305590823 |  14.8924111874242
  37 |       37 |      3363 |    1175 | 11689 | 14046 |   0.581680577210569 |  14.9904886179833
  38 |       38 |      3363 |    1175 |  2704 |  1568 |   0.582173744769643 |  15.5721691951939
  39 |       39 |      3363 |    1175 |  6821 | 11161 |   0.687775384941442 |  16.1543429399635
  40 |       40 |      3363 |    1175 |  9891 |  5672 |    1.99596577638604 |   16.842118324905
  41 |       41 |      3363 |    1175 |   704 |  3102 |   0.626287075092528 |   18.838084101291
  42 |       42 |      3363 |    1175 |  5426 |   655 |   0.234486657531844 |  19.4643711763835
  43 |       43 |      3363 |    1175 |  1175 |    -1 |                   0 |  19.6988578339154
  44 |        1 |      3363 |    6649 |  3363 |  2111 |   0.630888979655408 |                 0
  45 |        2 |      3363 |    6649 |  3724 |   804 |   0.107348683619402 | 0.630888979655408
  46 |        3 |      3363 |    6649 |  1434 |  1292 |  0.0629736571528349 |  0.73823766327481
  47 |        4 |      3363 |    6649 |  2255 |  7838 |    1.37204881285866 | 0.801211320427645
  48 |        5 |      3363 |    6649 |  1105 |  7839 |   0.254229684173835 |   2.1732601332863
  49 |        6 |      3363 |    6649 |  2040 |  2407 |  0.0550725050681213 |  2.42748981746014
  50 |        7 |      3363 |    6649 |  4226 |  2406 |  0.0429848709105685 |  2.48256232252826
  51 |        8 |      3363 |    6649 |  6306 |  3598 |    1.05228810508512 |  2.52554719343883
  52 |        9 |      3363 |    6649 |  3492 |  1989 |   0.101204137825398 |  3.57783529852395
  53 |       10 |      3363 |    6649 |  5170 | 10187 |   0.107020297274864 |  3.67903943634935
  54 |       11 |      3363 |    6649 |  5526 |  3154 |    0.10386557849405 |  3.78605973362422
  55 |       12 |      3363 |    6649 |  7685 |  4380 |   0.125415584301666 |  3.88992531211827
  56 |       13 |      3363 |    6649 |  9964 |  5712 |   0.106890998840894 |  4.01534089641993
  57 |       14 |      3363 |    6649 |  5913 |  3376 |   0.180541309228241 |  4.12223189526083
  58 |       15 |      3363 |    6649 |  7613 |  4338 |   0.113783165708264 |  4.30277320448907
  59 |       16 |      3363 |    6649 | 11438 | 13895 |   0.125251098591939 |  4.41655637019733
  60 |       17 |      3363 |    6649 |  3024 |  8953 |   0.132203098517342 |  4.54180746878927
  61 |       18 |      3363 |    6649 |  7673 |  4375 |   0.117906772688648 |  4.67401056730661
  62 |       19 |      3363 |    6649 | 10545 | 13385 |   0.110841136307028 |  4.79191733999526
  63 |       20 |      3363 |    6649 |  9446 | 12750 |      0.273220301493 |  4.90275847630229
  64 |       21 |      3363 |    6649 | 10008 |  5742 |   0.289994735801605 |  5.17597877779529
  65 |       22 |      3363 |    6649 |  7380 | 11517 |  0.0992440368188808 |   5.4659735135969
  66 |       23 |      3363 |    6649 | 10396 | 16106 |  0.0615458995214653 |  5.56521755041578
  67 |       24 |      3363 |    6649 |  9500 |  5431 |   0.192427402023419 |  5.62676344993724
  68 |       25 |      3363 |    6649 |  6597 | 11051 |   0.201895146418967 |  5.81919085196066
  69 |       26 |      3363 |    6649 |   303 |  7376 |   0.359271860257594 |  6.02108599837963
  70 |       27 |      3363 |    6649 |  6772 |  3858 |   0.171114576303175 |  6.38035785863722
  71 |       28 |      3363 |    6649 |  1722 |   991 |   0.120281833508523 |   6.5514724349404
  72 |       29 |      3363 |    6649 |  6649 |    -1 |                   0 |  6.67175426844892
  73 |        1 |     14745 |    1175 | 14745 | 21784 |    0.11839792716874 |                 0
  74 |        2 |     14745 |    1175 | 15791 | 22532 | 0.00817216251083721 |  0.11839792716874
  75 |        3 |     14745 |    1175 | 16449 | 19442 |  0.0138025968380234 | 0.126570089679577
  76 |        4 |     14745 |    1175 | 13727 | 19441 |  0.0177484659692711 |   0.1403726865176
  77 |        5 |     14745 |    1175 | 16124 | 22166 |  0.0153387888001676 | 0.158121152486871
  78 |        6 |     14745 |    1175 | 16079 | 22116 |  0.0193596071711882 | 0.173459941287039
  79 |        7 |     14745 |    1175 | 15273 | 21199 | 0.00822702703045713 | 0.192819548458227
  80 |        8 |     14745 |    1175 | 14098 | 19880 |   0.149443935397227 | 0.201046575488684
  81 |        9 |     14745 |    1175 | 12866 | 18484 |  0.0130280637765912 | 0.350490510885912
  82 |       10 |     14745 |    1175 | 16597 | 22709 |   0.064252571415808 | 0.363518574662503
  83 |       11 |     14745 |    1175 | 15823 | 21821 |  0.0459788287614151 | 0.427771146078311
  84 |       12 |     14745 |    1175 |  6336 | 12486 |   0.785162013408879 | 0.473749974839726
  85 |       13 |     14745 |    1175 |  8947 |  5883 |  0.0906065965793079 |  1.25891198824861
  86 |       14 |     14745 |    1175 | 10248 | 13370 |  0.0880422877308235 |  1.34951858482791
  87 |       15 |     14745 |    1175 | 10513 |  7297 |   0.629111091151407 |  1.43756087255874
  88 |       16 |     14745 |    1175 |   194 |  7296 |   0.258168328424878 |  2.06667196371014
  89 |       17 |     14745 |    1175 |  7397 |  4205 |   0.045381732353136 |  2.32484029213502
  90 |       18 |     14745 |    1175 |  2143 |  1230 |   0.551345494465575 |  2.37022202448816
  91 |       19 |     14745 |    1175 | 12205 |  6953 |  0.0866736405106035 |  2.92156751895373
  92 |       20 |     14745 |    1175 |  1541 |  3407 |   0.240429097112439 |  3.00824115946434
  93 |       21 |     14745 |    1175 |  5960 |  9177 |   0.106336179012055 |  3.24867025657677
  94 |       22 |     14745 |    1175 |  3416 |  6921 |   0.218052184947433 |  3.35500643558883
  95 |       23 |     14745 |    1175 | 12144 | 10055 |     1.0860453946733 |  3.57305862053626
  96 |       24 |     14745 |    1175 |  4970 |  6266 |   0.199098168323004 |  4.65910401520956
  97 |       25 |     14745 |    1175 | 10926 |  8132 |   0.253976106525789 |  4.85820218353257
  98 |       26 |     14745 |    1175 |  1625 |  1660 |   0.200581588599988 |  5.11217829005836
  99 |       27 |     14745 |    1175 |  2890 |  1661 |   0.111234820273484 |  5.31275987865834
 100 |       28 |     14745 |    1175 |  8032 | 11923 |   0.414385128241996 |  5.42399469893183
 101 |       29 |     14745 |    1175 |  8073 |  4595 |   0.194078277318295 |  5.83837982717382
 102 |       30 |     14745 |    1175 |  8130 |  4634 |    0.13667128997952 |  6.03245810449212
 103 |       31 |     14745 |    1175 |  1422 |  8025 |   0.207590866972202 |  6.16912939447164
 104 |       32 |     14745 |    1175 |  1932 |  8305 |   0.280562292274277 |  6.37672026144384
 105 |       33 |     14745 |    1175 |  6979 | 11271 |   0.260683208214394 |  6.65728255371812
 106 |       34 |     14745 |    1175 | 10374 | 13275 |   0.495213226945301 |  6.91796576193251
 107 |       35 |     14745 |    1175 |  3010 | 15040 |    1.60075560789478 |  7.41317898887781
 108 |       36 |     14745 |    1175 | 10705 | 16749 |   0.982445782136884 |  9.01393459677259
 109 |       37 |     14745 |    1175 | 13011 | 18640 |   0.991546433413133 |  9.99638037890948
 110 |       38 |     14745 |    1175 |  7716 | 15828 |   0.204802178021278 |  10.9879268123226
 111 |       39 |     14745 |    1175 |  4409 | 15278 |   0.458511234489608 |  11.1927289903439
 112 |       40 |     14745 |    1175 |  1579 |   907 |   0.161774767696989 |  11.6512402248335
 113 |       41 |     14745 |    1175 |  5785 | 16991 |   0.367295044869437 |  11.8130149925305
 114 |       42 |     14745 |    1175 | 13644 | 16993 |   0.277727562643832 |  12.1803100373999
 115 |       43 |     14745 |    1175 | 11942 | 14185 |  0.0980774305590823 |  12.4580376000438
 116 |       44 |     14745 |    1175 | 11689 | 14046 |   0.581680577210569 |  12.5561150306028
 117 |       45 |     14745 |    1175 |  2704 |  1568 |   0.582173744769643 |  13.1377956078134
 118 |       46 |     14745 |    1175 |  6821 | 11161 |   0.687775384941442 |   13.719969352583
 119 |       47 |     14745 |    1175 |  9891 |  5672 |    1.99596577638604 |  14.4077447375245
 120 |       48 |     14745 |    1175 |   704 |  3102 |   0.626287075092528 |  16.4037105139105
 121 |       49 |     14745 |    1175 |  5426 |   655 |   0.234486657531844 |  17.0299975890031
